"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"beat down","[""beats down"",""beating down"",""beaten down""]","[""if the rain beats down, it rains very hard"",""if the sun beats down, it shines very brightly making the weather very hot"",""to persuade someone to sell you something at a lower price than their first offer""]","[""As the sun beat down, a beach ball was launched along the terrace."",""I could feel the sun beating down on my head."",""The midday sun beat down on the men as they lay in the ditches and fields around the village."",""The original price was £100,000, but we beat them down to £95,000."",""The sun beat down on our economy rental car."",""The sun beats down from a clear blue sky.""]",2,\N,"Medium",\N
"beat off","[""beats off"",""beating off"",""beaten off""]","[""to prevent someone from physically attacking you by hitting them with your hands or with an object"",""to succeed in winning or gaining something from an opponent""]","[""He had to beat the dogs off with a stick."",""Virgin Airlines must beat off stiff competition to win the contract."",""efforts to beat off their rivals""]",\N,\N,"Medium",\N
"beat on","[""beats on"",""beating on"",""beaten on""]","[""to hurt someone by hitting them a lot of times""]","[""According to the witness, the police ran up and started beating on him.""]",\N,\N,"Medium",\N
"beat out","[""beats out"",""beating out"",""beaten out""]","[""to make a pattern of sounds by hitting an instrument or other object"",""to make someone tell you something by hitting them"",""to stop a fire from burning by hitting it with something"",""to succeed in winning or gaining something that someone else wants""]","[""Atlanta beat out Athens for the privilege of hosting the 1996 Olympics."",""He claims that the confession was beaten out of him."",""Now the drummers ahead of the lines beat out a quicker cadence in a great booming thunder as ten thousand men began marching forward."",""She beat out the flames with a branch."",""drummers beating out a rhythm""]",0,"[""extinguish"",""put out"",""smother"",""stifle""]","Medium",\N
"beat up","[""beats up"",""beating up"",""beaten up""]","[""to blame or criticize yourself or someone else"",""to hurt someone by hitting or kicking them many times""]","[""A husband who beat up his wife in a row over rubbish going into the wrong recycling bins is facing jail."",""He and his henchman kidnapped and beat up a borrower who had ended up owing £250,000 in interest alone."",""He did a year for beating up a pub landlord and trying to cover it up."",""He quaffed back his beer and strode through the beat-up hotel lobby."",""He sat in the chair, his elbows resting on the beat-up table, embarrassed at what his answer had to be."",""I got beat up in the jungle."",""I'm glad you got an old beat-up car instead of a gross Cadillac or something."",""It’s time you stopped beating yourself up over this."",""Kenneth would send him and he'd come like a beat-up, punch-drunk fighter; useless and straight into the trap."",""They threatened to beat me up if I didn’t give them my wallet.""]",2,"[""assault"",""attack"",""batter"",""thrash""]","Easy",\N
"beat up on","[""beats up on"",""beating up on"",""beaten up on""]","[""same as beat up""]","[""He and his brother are always beating up on each other."",""I’m not here to beat up on single parents.""]",0,\N,"Medium",\N
"beaver away","[""beavers away"",""beavering away"",""beavered away""]","[""if you beaver away at something, you work very hard at it""]","[""He was beavering away at his homework until after midnight.""]",0,"[""persist"",""slave"",""sweat"",""work""]","Hard",\N
"beaver away at",\N,"[""work hard doing something""]",\N,\N,\N,"Hard",\N
"become of","[""becomes of"",""becoming of"",""became of""]","[""used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them""]","[""If she is sent to prison, what will become of her children?"",""Whatever became of the painting that used to be in your grandfather’s library?""]",\N,\N,"Medium",\N
"bed down","[""beds down"",""bedding down"",""bedded down""]","[""to lie down, or to put someone else into a bed or another place to sleep""]","[""Extra guests can bed down in neighbouring barns that sleep up to six."",""It was time to bed down for the night."",""John and Steve can bed down in the living room."",""Last night those still holding out hope of getting on to flights bedded down for a second time under silver foil blankets."",""Smear the chicken with 1 tbsp olive oil and bed down on the thyme."",""The creatures were expected to bed down from December until March, but more than 400 have already woken up.""]",0,"[""lie down"",""retire"",""sleep"",""turn in [informal]""]","Medium",\N
"bed out","[""beds out"",""bedding out"",""bedded out""]","[""to plant young plants outdoors""]",\N,\N,\N,"Hard",\N
"beef up","[""beefs up"",""beefing up"",""beefed up""]","[""to increase or improve something, or to make it more interesting""]","[""But he had just alerted police that his life was in danger and beefed up security at his home."",""He laughs at the suggestion that he used steroids to beef up for the role."",""The Indian central bank has been beefing up its reserves."",""The hotel plans to beef up its marketing effort."",""We have beefed up security for his national tour.""]",0,"[""build up"",""enhance"",""increase"",""strengthen""]","Medium",\N
"believe in","[""believes in"",""believing in"",""believed in""]","[""to feel confident that a person or organization is good or reliable"",""to think that an idea or a way of doing something is good or right"",""to think that someone or something exists""]","[""I don’t believe in miracles."",""I’m beginning to think you actually believe in ghosts!"",""She used to say she didn’t believe in marriage."",""Some of his previous supporters have stopped believing in him."",""Some of his supporters have stopped believing in him.""]",\N,\N,"Easy",\N
"belong to","[""belongs to"",""belonging to"",""belonged to""]","[""if a particular time, aspect of life, way of thinking etc belongs to a particular group, they are the people who control it or who are the most suitable for it"",""if something belongs to someone, they deserve it or have a right to it"",""to be a member of an organization or club"",""to be owned by someone"",""to come from or be part of a group of similar things or people"",""to come from or be related to a particular time or place""]","[""Of course, all the credit really belongs to my partner, Sam."",""She belongs to the school computer club."",""The car belongs to the woman next door."",""The future belongs to you."",""They belong to a different generation."",""This belongs to the same family of drugs as Prozac."",""This painting clearly belongs to a later period."",""Who does this coat belong to?""]",\N,\N,"Easy",\N
"belong with",\N,"[""be in the correct or appropriate location with other items""]",\N,\N,\N,"Medium",\N
"belt down","[""belts down"",""belting down"",""belted down""]","[""to drink alcoholic drinks quickly, one after another""]",\N,\N,\N,"Medium",\N
"belt out","[""belts out"",""belting out"",""belted out""]","[""to shout or sing something loudly, or to play something loudly on a musical instrument""]","[""`But who the thieves were, or how they got the belt out of the museum, no one can guess,\"" Taro said unhappily.""]",1,"[""blast out"",""boom out"",""scream"",""sing out loud""]","Medium",\N
"belt up","[""belts up"",""belting up"",""belted up""]","[""to put on a seat belt in a car"",""used for telling someone to be quiet""]","[""After all it's no longer my house...' `Och, belt up ,' said Grey good-naturedly."",""Oh, belt up ,\"" whispered Alec, as he heard footsteps in the corridor."",""With his good hand he picked his sword belt up from the chest and slung it onto the bed next to her, then raised the lid to rummage round.""]",1,"[""be quiet"",""button it [slang]"",""hush"",""shut up [informal]""]","Hard",\N
